month;Total_crimes;Serious_and_especially_serious;Causing_huge_damage;Ecological;Terrorism;Extremism;Murder;Serious_harm_to_health;Rape_assault;Razboy;Grabezh;Theft;Vehicle_theft;Fraud_scam;Hooligan;Drugs;Weapons
01.01.2003;214587;88203;20162;1216;630;13;2749;5559;574;3698;16455;81014;3549;7731;10560;16006;4661
01.02.2003;221928;88863;20889;1701;678;5;2444;4732;515;3678;15724;95970;3697;7607;10816;16839;5364
01.03.2003;248452;101349;24053;1817;809;10;2864;4851;560;4406;15674;79420;4327;9437;11813;20176;5938
01.04.2003;236299;91625;19754;2449;892;10;2919;4722;668;4322;14440;95215;5345;7824;12636;16614;5230
01.05.2003;230931;89615;17519;3530;796;20;2713;4895;688;3781;14209;94505;6374;7122;12234;14413;5112
01.06.2003;249710;97514;19351;3121;577;8;2685;4408;762;3942;14425;100154;7178;10507;11825;14659;5321
01.07.2003;225847;84698;14048;2340;425;13;2478;4814;791;3501;15921;100070;7282;5914;11152;11146;3803
01.08.2003;222107;84597;15578;2137;442;21;2472;4825;730;3463;15646;96690;7017;5687;10348;12868;4075
01.09.2003;240131;94677;18980;2542;752;7;2418;4598;761;3861;16533;101031;6996;7997;10566;14784;4397
01.10.2003;245711;92437;17943;1898;993;32;2679;5021;785;4450;19297;108788;7652;5935;11762;15052;4264
01.11.2003;218480;86458;16265;1836;738;11;2559;4309;622;4531;18329;92749;5547;5848;11157;13883;3969
01.12.2003;202215;80115;16837;1510;932;7;2380;4353;629;5040;21383;105166;5565;5862;9183;15248;2069
01.01.2004;211885;78407;20590;1535;672;8;2584;5319;599;3998;18731;85650;3948;9957;2197;16477;2503
01.02.2004;230077;81036;20177;1781;1044;8;2563;4656;609;4143;19175;92876;3887;10862;2073;18885;2759
01.03.2004;261288;90832;23328;2189;1157;9;3007;5363;702;5199;20152;104182;4839;12672;2390;20197;2953
01.04.2004;239677;77428;21333;2634;1198;9;2742;4971;723;4727;17823;100795;5460;10736;2302;17924;2380
01.05.2004;228278;73593;8608;3985;991;5;2665;4905;757;4243;18618;100725;6588;10109;2187;7275;2580
01.06.2004;256948;80591;8562;3965;504;12;2680;4547;840;4147;19377;109535;7039;12788;2136;8190;2500
01.07.2004;231752;69486;7424;2428;358;11;2446;4676;804;4054;20119;107785;7047;9333;2003;8357;2185
01.08.2004;243138;76166;31102;2601;302;17;2569;4682;888;4227;21338;111705;7176;9589;1990;10707;2091
01.09.2004;254352;80586;14791;2875;987;15;2481;4480;875;4505;22179;112870;6946;11300;2050;11358;2351
01.10.2004;250393;78516;12349;2448;1086;4;2633;4895;763;5018;24724;119447;7435;9362;1914;9931;2018
01.11.2004;240788;76218;12795;2259;675;9;2708;4548;633;5317;24351;113004;5779;9453;1811;10662;1973
01.12.2004;245234;73945;12474;2053;549;23;2474;4310;602;5870;24846;118306;5020;9886;1745;10133;2153
01.01.2005;226573;79447;14496;1694;428;8;2457;5021;576;4099;22288;93497;3928;12677;1643;10135;2254
01.02.2005;245170;80787;16090;1843;470;8;2428;4226;496;4427;22539;100445;3781;13149;1639;13223;3028
01.03.2005;287104;94954;19415;1968;602;15;3029;4877;653;5398;24417;114029;4367;16648;2186;16612;3263
01.04.2005;262967;80923;15789;2513;535;8;2677;4563;602;4862;23085;111666;4941;13957;2080;13667;2754
01.05.2005;289533;89347;16071;4646;557;13;3099;5578;786;4967;26892;123775;5858;14726;2134;14803;2962
01.06.2005;332167;98505;20561;3853;365;13;2700;5091;1010;5388;28852;145137;7047;17672;2267;17116;2853
01.07.2005;302965;87499;16579;2802;255;10;2414;5029;884;4809;28243;141283;6632;14325;2893;14206;2107
01.08.2005;326263;95231;18039;2688;294;23;2523;5246;1027;5307;31055;152218;6908;14295;2945;16292;2074
01.09.2005;330848;98196;20602;3432;397;7;2384;4812;910;5640;32488;147535;6780;17304;2819;16111;2348
01.10.2005;322364;92091;16924;3170;521;3;2377;4910;817;6070;34637;151516;6934;15221;2836;14528;1947
01.11.2005;310280;89826;17049;2711;480;16;2340;4043;797;6044;34305;144291;5581;14276;2577;14125;2113
01.12.2005;318504;90182;17361;2171;534;28;2421;4467;664;6360;35639;147604;4789;15303;2646;14423;2205
01.01.2006;269142;86270;17850;1905;292;13;2157;4896;571;4284;28064;106875;3401;17030;2236;14091;2180
01.02.2006;300640;91737;19948;2142;428;23;2234;4165;655;4837;29819;120426;3614;19611;2040;16427;2774
01.03.2006;359098;108299;25767;2706;339;31;2751;4583;712;6117;34316;142738;4605;24336;2731;20646;3202
